Iterasyon,0_PSO_Klasik,Fly_Kör_Yok_Sabit,Fly_Kör_Yok_Yorulan,Fly_Kör_Yan_Lob_Sabit,Fly_Kör_Yan_Lob_Yorulan,Fly_Kör_Ana_Lob_Sabit,Fly_Kör_Ana_Lob_Yorulan,Fly_Anlık_Yok_Sabit,Fly_Anlık_Yok_Yorulan,Fly_Anlık_Yan_Lob_Sabit,Fly_Anlık_Yan_Lob_Yorulan,Fly_Anlık_Ana_Lob_Sabit,Fly_Anlık_Ana_Lob_Yorulan,Fly_Hafızalı_Yok_Sabit,Fly_Hafızalı_Yok_Yorulan,Fly_Hafızalı_Yan_Lob_Sabit,Fly_Hafızalı_Yan_Lob_Yorulan,Fly_Hafızalı_Ana_Lob_Sabit,Fly_Hafızalı_Ana_Lob_Yorulan
60,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.031970977783203125,0.084228515625,1.0311088562011719,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
61,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.03182220458984375,0.084228515625,1.0311088562011719,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
62,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.02877044677734375,0.084228515625,1.0311088562011719,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
63,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.02877044677734375,0.084228515625,1.030649185180664,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
64,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.025859832763671875,0.084228515625,1.030649185180664,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
65,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.025745391845703125,0.084228515625,1.030649185180664,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
66,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.023141860961914062,0.084228515625,1.030649185180664,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
67,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.022891998291015625,0.084228515625,1.030649185180664,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
68,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.02056884765625,0.084228515625,1.030649185180664,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
69,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.02021026611328125,0.084228515625,1.030649185180664,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
70,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.018146514892578125,0.084228515625,1.030649185180664,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
71,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.017696380615234375,0.084228515625,1.030649185180664,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
