Iterasyon,PSO_Sphere,Fly_Sphere,PSO_Rastrigin,Fly_Rastrigin
89,1.703756823044262e-26,0.010536981746554375,0.0,1.0046501159667969
90,1.703756823044262e-26,0.010536981746554375,0.0,1.0046501159667969
91,1.703756823044262e-26,0.010536981746554375,0.0,1.0046501159667969
92,1.703756823044262e-26,0.010536981746554375,0.0,1.0046501159667969
93,1.0926111612194808e-27,0.010536981746554375,0.0,1.0046501159667969
94,1.0926111612194808e-27,0.010536981746554375,0.0,1.0046501159667969
95,1.0926111612194808e-27,0.010536981746554375,0.0,1.0046501159667969
96,1.0926111612194808e-27,0.010536981746554375,0.0,1.0046501159667969
97,1.0097732550444914e-27,0.010536981746554375,0.0,1.0046501159667969
98,1.8290929830772304e-28,0.010536981746554375,0.0,1.0046501159667969
99,1.8290929830772304e-28,0.010536981746554375,0.0,1.0046501159667969
100,1.40343393753035e-28,0.010536981746554375,0.0,1.0046501159667969
