Senaryo_ID,Boyut 1 (Enerji),Boyut 2 (Ödül)
73,0.06623311,-0.9458468
74,-0.121696025,0.4185518
75,0.08689301,-0.7463317
76,-0.080671,0.8072359
77,0.0769959,-0.7189178
78,0.05324783,-0.8987164
79,-0.053247314,0.89871496
80,0.06764365,-0.93859124
81,-0.06698587,0.7693296
82,0.1748164,0.08174382
83,0.066387765,-0.9462752
84,-0.12439877,0.4260381
85,-0.053247347,0.8987151
86,-0.06698587,0.7693296
87,-0.10111593,0.4010749
88,0.08054906,-0.8068981
89,0.08689302,-0.7463317
90,0.15556705,-0.110515654
91,0.08689301,-0.7463317
92,0.15556705,-0.110515654
93,-0.06651208,0.94661945
94,0.18031162,0.13349856
95,-0.06698587,0.7693296
96,-0.06762752,0.9497091
97,-0.080593616,0.80702156
98,-0.08054837,0.80689627
99,0.072518125,-0.8851171
100,-0.08059971,0.8070384
101,-0.15556705,0.110515654
102,0.053764004,-0.5429416
103,-0.08689302,0.7463317
104,0.032326102,-0.87247866
105,-0.024885397,0.83685595
106,0.11620082,-0.47030652
107,-0.053247835,0.8987164
108,0.06698587,-0.7693296
109,-0.1748164,-0.08174382
110,0.03300073,-0.87434727
111,-0.05324734,0.898715
112,-0.053247366,0.8987151
113,0.08056996,-0.80695605
114,0.035980266,-0.8491123
115,0.08059797,-0.8070336
116,0.11620082,-0.47030652
117,0.15556705,-0.110515654
118,-0.086984366,0.74551404
119,0.06697369,-0.9367355
120,0.17939928,0.12486304
121,-0.18031162,-0.13349856
122,-0.0886925,0.7513161
123,0.05141557,-0.9159665
124,0.06609819,-0.9454731
125,0.18031162,0.13349856
126,-0.06698587,0.7693296
127,-0.12440234,0.42600438
128,0.053247668,-0.8987159
129,-0.15556705,0.110515654
130,0.11620082,-0.47030652
131,-0.11620082,0.47030652
132,0.06616112,-0.94564736
133,-0.056094237,0.76752585
134,0.15556705,-0.110515654
135,-0.11620082,0.47030652
136,0.1821111,0.12851422
137,0.08689302,-0.7463317
138,-0.06698587,0.7693296
139,-0.053247314,0.89871496
140,-0.11620082,0.47030652
141,-0.053247306,0.89871496
142,0.08689301,-0.7463317
143,0.15556705,-0.110515654
144,-0.06698587,0.7693296
145,-0.053247314,0.89871496
146,0.057137642,-0.8262299
147,0.05324739,-0.8987152
148,-0.08061814,0.8070895
149,0.06700415,-0.93681985
150,0.06953991,-0.8768678
151,-0.024499383,0.8190864
152,-0.06764365,0.93859124
153,-0.08689299,0.7463317
154,-0.0905152,0.74515843
155,-0.12439877,0.4260381
156,-0.15556705,0.110515654
157,0.08689301,-0.7463317
158,0.053247344,-0.898715
159,-0.008347377,0.783232
160,-0.16895781,-0.17289348
161,-0.15556705,0.110515654
162,-0.11620082,0.47030652
163,-0.08054836,0.8068962
164,0.06764365,-0.93859124
165,-0.080650836,0.80718005
166,0.066292346,-0.9460108
167,-0.06764365,0.93859124
168,-0.08698195,0.74553674
169,0.053247444,-0.8987153
170,-0.11620082,0.47030652
171,-0.086892985,0.74633163
172,0.15556705,-0.110515654
173,0.08054722,-0.80689305
174,0.0886925,-0.7513161
175,-0.15556705,0.110515654
176,-0.05141557,0.9159665
177,0.08689301,-0.7463317
178,0.06764365,-0.93859124
179,-0.053247824,0.8987164
180,-0.1821111,-0.12851422
181,-0.0769959,0.7189178
182,0.1748164,0.08174382
183,0.06764365,-0.93859124
184,-0.06764365,0.93859124
185,0.05324731,-0.89871496
186,0.06583159,-0.94469106
187,0.053247407,-0.8987152
188,0.0740386,-0.88932866
189,0.033827435,-0.8693251
190,0.08057247,-0.80696297
191,0.1821111,0.12851422
192,0.11620082,-0.47030652
193,-0.05324731,0.89871496
194,-0.08689299,0.74633163
195,-0.06499836,0.95258147
196,0.06764365,-0.93859124
197,0.06635257,-0.94617766
198,-0.16491929,-0.109157756
199,-0.053247835,0.8987164
200,-0.06632043,0.9460886
201,-0.03365776,0.86115456
202,0.08698531,-0.7455051
203,-0.07252529,0.88513696
204,-0.12439877,0.4260381
205,0.09326281,-0.71928114
206,0.06764365,-0.93859124
207,-0.15556705,0.110515654
208,0.15556705,-0.110515654
209,-0.0769959,0.7189178
210,-0.08689302,0.7463317
211,-0.080587134,0.8070036
212,0.06764365,-0.93859124
213,-0.06698587,0.7693296
214,-0.17753175,-0.08538525
215,-0.18301791,-0.126046
216,0.05324732,-0.89871496
217,0.11620082,-0.47030652
218,0.11620082,-0.47030652
219,-0.06764365,0.93859124
